smiles,vina_kcal_mol,AMES,DILI,hERG,ClinTox,Carcinogens_Lagunin,SR-p53,SR-MMP,CYP3A4_Veith,CYP2C9_Veith,Solubility_AqSolDB,Caco2_Wang,Clearance_Hepatocyte_AZ,Half_Life_Obach,LD50_Zhu,Bioavailability_Ma
CC(C(=O)O)c1ccc(-c2ccc(-c3ccncc3)cc2)cc1,-6.54,0.080495395,0.9410964,0.33956352,0.2781155,0.35136062,0.161192,0.29009274,0.121978715,0.41533136,-4.4914656,-4.8887525,2.139173,19.9781,3.2535148,0.9096755
CC(C(=O)O)c1ccc(-c2ccc(CCN)cc2)cc1,-6.53,0.14538449,0.52926934,0.21742113,0.24855065,0.31120557,0.051494908,0.043656874,0.026543427,0.08153888,-2.944318,-5.217233,-4.2179613,-2.3436768,2.860524,0.847933
COc1ccc(-c2ccc(C(C)C(=O)O)cc2)cc1,-6.5,0.10013417,0.88950825,0.1743999,0.12462759,0.30357832,0.064117,0.14717229,0.025928408,0.19304578,-3.87472,-4.7017984,14.291318,-5.103007,2.9011216,0.93316156
CC(C(=O)O)c1ccc(Oc2ccccc2C(N)=O)cc1,-6.48,0.049754582,0.7917371,0.05679641,0.11701636,0.29170293,0.02020144,0.0153924795,0.007673441,0.06785523,-2.9320314,-4.9831634,8.783862,-10.647293,2.2178712,0.9078787
CC(C(=O)O)c1ccc(-c2ccc(-c3ccc(C(=O)O)cc3)cc2)cc1,-6.43,0.10962373,0.9593461,0.11019079,0.14130864,0.51453996,0.042871837,0.11476849,0.005591229,0.22116372,-4.949627,-5.1535745,-4.7815676,33.758648,3.187278,0.8066863
CC(C(=O)O)c1ccc(-c2ccc3cc(C(C)C(=O)O)ccc3c2)cc1,-6.43,0.07406242,0.8898298,0.108340345,0.20417371,0.47395173,0.05649271,0.0447775,0.017964479,0.2589503,-4.4941115,-5.208184,-16.20274,25.898548,3.462073,0.8335373
CC(C(=O)O)c1ccc(-c2ccc(C(=O)O)cc2)cc1,-6.35,0.04652271,0.833453,0.03457623,0.14525318,0.43671235,0.0134422975,0.012902001,0.0012597928,0.077526346,-3.7265542,-5.2314296,-3.452423,12.521138,2.714867,0.78330165
CC(C(=O)O)c1ccc(-c2ccc(-c3ccc(CCN)cc3)cc2)cc1,-6.35,0.31343347,0.8577072,0.41910285,0.2849345,0.40198845,0.186815,0.23338833,0.05065555,0.19095592,-4.4491496,-5.136195,-4.9676933,22.668856,3.3610675,0.85285044
CC(C(=O)O)c1ccc(Oc2ccccc2N)cc1,-6.31,0.16597497,0.77960324,0.18965442,0.19892022,0.2687844,0.0805371,0.121851996,0.062201507,0.19827071,-2.9018464,-4.7347236,10.190768,-8.313356,2.4247575,0.8764089
CC(C(=O)O)c1ccc(-c2ccc(Nc3ccc(O)cc3)cc2)cc1,-6.3,0.23814547,0.93659943,0.38828346,0.116570726,0.25331408,0.22388975,0.6443335,0.09314781,0.34669548,-4.8804455,-5.218973,15.702951,31.165558,2.83307,0.7549033
CC(C(=O)O)c1ccc(Oc2ccccc2C(=O)O)cc1,-6.27,0.035088472,0.8082997,0.028947601,0.11425465,0.39142662,0.013096297,0.007587644,0.0018764423,0.07946881,-3.063567,-5.1347013,3.2319636,0.078200914,2.3752222,0.83407485
CC(C(=O)O)c1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1,-6.07,0.10555351,0.92004216,0.09789878,0.22280058,0.5230459,0.040881943,0.05911271,0.0071145915,0.19946654,-4.6851454,-5.1789412,-0.5638626,29.639896,2.9520411,0.78107154
CC(C(=O)O)c1ccc(-c2ccc(-c3ccc(C(N)=O)cc3)cc2)cc1,-6.05,0.20049688,0.9597184,0.20459202,0.16472366,0.43981034,0.08621007,0.20763822,0.017045919,0.21466544,-5.1031113,-5.0195246,1.1597831,28.080084,3.1362152,0.882578
CC(C(=O)O)c1ccc(Oc2ccc(C(C)C(=O)O)cc2)cc1,-6.01,0.019141568,0.773201,0.03945557,0.08296628,0.33264095,0.02184025,0.010700753,0.008171873,0.13649914,-3.2444396,-5.173671,-7.5820436,3.3015351,2.7481725,0.84359866
CC(C(=O)O)c1ccc(Oc2c(O)c3ccccc3oc2=O)cc1,-5.97,0.044061467,0.95304537,0.09512424,0.08723149,0.44802722,0.057456784,0.11365324,0.021419898,0.34447247,-3.6668458,-4.9205256,3.561938,-1.2511342,2.9680586,0.87914115
CC(C(=O)O)c1ccc(-c2ccc(O)cc2)cc1,-5.79,0.11399881,0.7506515,0.15638733,0.14122175,0.27907246,0.07246063,0.18523192,0.026063958,0.18238708,-3.3239007,-5.026023,16.919952,-12.830978,2.7277102,0.77127284
